dataset,split,selection,label,class_name,modality,sample_index,source_path,raw_file_sha256,transformed_rgb_sha256,tile_x,tile_y
sketchy_104_21,test,MOST PHOTOS,6,helicopter,sketch,1,datasets/Sketchy/256x256/sketch/tx_000000000000_ready/helicopter/n03512147_1055-1.png,c0bd0e83edc69b1f63c8934911cf64daf22376e80130c2d559e64058171163e0,6d00b759bddfb17ef411c73d8ac4c185f5238c20e550ebb61f40c9cac642320a,16,156
sketchy_104_21,test,MOST PHOTOS,6,helicopter,sketch,2,datasets/Sketchy/256x256/sketch/tx_000000000000_ready/helicopter/n03512147_1055-10.png,3e1851d56caec3bc7ed40233f115414572cf5c50e6d3d1b2613a0fd859ef99cf,4601bdbf03eba3bd8a842e03e84566bba4d5d535e12f0ed3194b22d9d1737a60,16,414
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,1,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_1055.jpg,7343aaddb0d7bda45c23eeb3a3217f3a7c7bd4fcf98f92481c179fd7f60133e1,3dccebd750006370e188e6a9f09db537bd012b6666b495760b07174b9236675b,256,156
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,2,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_1191.jpg,e5d9a9d03fe4ac832700d413cef031b9446b388d8da528868f8a098a81d42b37,f2acc33491b83bd62a791c06c530fc34e8356ea1edfdf5f707d821059dee7a2e,496,156
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,3,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_1201.jpg,6c78fb59b08d719fc8722ec461919690f190e49a669697acaacdbf4920b8f450,2842dfed379a4ab83a1b07afa66da1e7357520e6a687b85e0210480d0a1f2b3f,736,156
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,4,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_121.jpg,b1d0b6752731329c787329f669d367b6a01f343429c7011bdeda9d5b725b1d1f,d321d2e6933d8fb4be9f70521ea05b3905682f5d2a1f86e6e85e745c87b37f75,976,156
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,5,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_1223.jpg,0fa63794c5053ed8668d761db28b5c614c374dc447345026894d229bc03cdc64,13ce89a50df6e85e439751a072f5b544a8d1b4b2af7a1c2a5e3e43d1e5ea611e,256,414
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,6,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_13029.jpg,c425a2e058286182e7e16d3379046053e671d30d24230e59ef9292ab816ab932,284aee71b67a6be94666bb177d1d3e6b672f6b277db793692c01ab8efda2a224,496,414
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,7,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_1318.jpg,9543833808a7b2daf662289459a3152a2da73240487ef875f69e9a1590e6c3f4,efd5f50a38655adbb68511e2defa3e38db67bdeab52cfb86b95967e83119274c,736,414
sketchy_104_21,test,MOST PHOTOS,6,helicopter,photo,8,datasets/Sketchy/256x256/photo/tx_000000000000_ready/helicopter/n03512147_1325.jpg,2be916f0beab286852db111ffee31bfb24afd2405a3674339e8c13fe8cef94a6,5b536b54a3e5bc8a6cfb0255ac2ac85d1cc237f66933410cb6cbcddeda0cd837,976,414
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,sketch,1,datasets/Sketchy/256x256/sketch/tx_000000000000_ready/skyscraper/n04233124_10156-1.png,3220ce4888c284c6cdf613c44baa9b55397f77886540947a40fe73158d752a35,a9ed9e099e68f24f3872daaa050437317f79160efabcccc956c3826ee4bcc324,16,710
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,sketch,2,datasets/Sketchy/256x256/sketch/tx_000000000000_ready/skyscraper/n04233124_10156-2.png,390bc14807d57bfb2c0ce7d36f44eb8f795bd1497109d3324074b4ea850f90ab,c826f7bb35e189b2799fc93bda73b4be7bcc14418ca16fecc34130a11dc77eea,16,968
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,1,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_10156.jpg,fd659c315571eeb9b41ca5a1928bb576544a9c40e9b7d11b19b3072566165a9b,46e2bd2d15b879e9d78e6bbc0bf962218cf84aad3f52f95a0417582c750a1e90,256,710
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,2,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_10163.jpg,767143e9c30ec31849aa8bd884f2f0dae229db42ac5c1a50796573b60397c893,9fb5660042788eb8beab865b61d12f1d6a8aae2f061c952accc828f95831927d,496,710
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,3,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_1041.jpg,af52920790c6480600546ac9404e0a1f8cb173ee58ae8d1ae64d4b8bb9d23047,da287dee151e5eb855ad475ffba7317ad0e1a5f3889fe9d5c362ba49dfe1d18a,736,710
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,4,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_10716.jpg,9a108d9cb376ec52fcb64828752b0a5dc07be0430e3593247584403511867f23,54e7520be956a84001c722f8ff0d0e64b92316ac47e289e07553b832f547a282,976,710
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,5,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_10745.jpg,de10a8d1df013affb340e82a43af442d48aa7a9c652358ce3c13f9c6d6a24ad7,65b8783e5ccd33235b62cc8842ce76dd5ce94e510815fcafcd4f0a259e71da19,256,968
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,6,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_10907.jpg,ba1813fd4a9c472c9146750a98bb0219ef7c0d72468ea281198dfb78e20b3ff0,86cd394fd02555112b2bc6078914ed8774e3ec5717dee39a48f929e55d6e0c11,496,968
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,7,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_11196.jpg,511090cc71fe70b96b367b1f9b6264a6e4d6aa378efdb469cae25bd132decab9,3bf773cfe70a5959caa3cb760624d443cae3e29ff714446d963196cd921f6100,736,968
sketchy_104_21,test,FEWEST PHOTOS,14,skyscraper,photo,8,datasets/Sketchy/256x256/photo/tx_000000000000_ready/skyscraper/n04233124_11385.jpg,3c7569886ea7217f1413ef98bc9128143e53160e3bc20ad729fad408ecb88183,f2ee0b8b5a5fedf520f42d0ae396fa18d448732142748d7bffd7e46b31b46109,976,968
tuberlin_220_30,test,MOST PHOTOS,20,windmill,sketch,1,datasets/TUBerlin/png_ready/windmill/19601.png,8e27f29599d26dfd9be100ffd02d200540b2e5b6d6f00b10312fc5789c02ff6a,47db1ca1566a0f75fac00bed04e821352cddcf90e670bbab34e552016b6ba57c,16,156
tuberlin_220_30,test,MOST PHOTOS,20,windmill,sketch,2,datasets/TUBerlin/png_ready/windmill/19602.png,1f1ccc4a54f9811dd350a6ed024729b6bac9360b88fd85e9a29dff3f0a7c7b90,e534312e492b7d0e7f76ca06f6d869ad34512ed86feb4cc1b1a6a338d5ca5f67,16,414
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,1,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10017.JPEG,d59d299a64d1e202270b1bbcf33c1e4ccac68d67dd56fc013000d2c63737eab4,fbb2eca41441374726fb48c7b8daf4259312be293a4cc73f3bbade6195dfbdbe,256,156
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,2,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10039.JPEG,7c185b44da1a565091c484791a395811e0dc88afd02511bac797ef26ffa083b8,d178e00dc33ca55447e64362ee246d73e2029a6e6e8b3c31dc8807600e4a7981,496,156
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,3,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10046.JPEG,8c22cd95d88a14b7c71897917a1b324038228d2dfb0da0b2522bad3545e011e8,8780ad09248709132540286f1dbd2d08acc185c44b2d6fdec6a65c272bbdfb1c,736,156
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,4,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10083.JPEG,8b0bc59ae73051bc792b8a0d8eb0624eeeebe69d9c6f255bf2c87afc3e7e1f4e,5ebbd0f3a648e6b1662c2d61c4385fb72465e91acea70aebc4bdbc4cde0c8364,976,156
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,5,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10132.JPEG,2fdae9fc8461a91346f8976913ef2204db2890a1a1478fe6e737e7e7db1315db,94fe02e967f5d685233be73bd502b93fff598b2b9555d144058188974fb6a79e,256,414
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,6,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10138.JPEG,4cdc7f947c095b27defcc5120993db891ff8f35967b90b9d9fef6a428f2d5807,2148e3978c35072febebb66a3cceaaff5778c0e1071722494c7eccd15577b686,496,414
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,7,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_10143.JPEG,6519e1b7f24b53d2f5d02188b8fc215610eeea94cf3f246ae5a59dab440123f8,b8c431b1f0108ab3306adc9f10b215d5cab434413f10e813ffa093cbee503b07,736,414
tuberlin_220_30,test,MOST PHOTOS,20,windmill,photo,8,datasets/TUBerlin/ImageResized_ready/windmill/n04587404_1016.JPEG,e37baba9ddf1fad6cd5ff85cdb41b84e463ca84098ca2c5dc0ff2c02fae7ec07,fb99b24c485c5bb1bd70a1a085e9381ff16a489f167e771bcf0bd6e1b32c5040,976,414
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,sketch,1,datasets/TUBerlin/png_ready/trombone/18641.png,4baa11e82ec84db508f4a4fd6aaf85312a8c918473fa4b0fcc3301dc56c73b4e,eaacd5be591dbb801908eb0a8fec07c579a2c436672b90bcf7d33fb0cc23c8a1,16,710
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,sketch,2,datasets/TUBerlin/png_ready/trombone/18642.png,23433e112132ab669abd7cbb4d45f3fdf85f391015984586ee6fe1248a357b7d,7106bcca02a31a1a8b12b6a37a823f6a14b6899be2baa308e405b62c6c76688c,16,968
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,1,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_10164.JPEG,61970aef409916100bf740ac02b762195afd3e1c4854be6bb0db317caa8cdd5b,796f63c98145c4826f2bca6f1590a97b21ef12d79012e655f406b3657efe69d2,256,710
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,2,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_10430.JPEG,79a7795760d3d0cc35c6f1abf18a3d7e65a410a9e864c7fcdb5fc6c125b4419c,814123ae81ac51f3486c70dffc9f4a8e929b39736c76c3f93bef73b10c9368e4,496,710
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,3,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_1047.JPEG,cbaaac7b8f62384057b2bfcdff0d093ccdfa19a18c4a48ced7f2c481904f1e0f,b8f7f5807539af7fd7d1b771bce630a800358bbd6aa80f69346546897a215906,736,710
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,4,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_1070.JPEG,cbe0a79d567ae15a39587c7fed2cf2df9ebf5066b8113cf829cb6325d241c618,bedfb49b34e280fcc02f0999df5236d637a280fd5de75ddea6fca7063d49ce55,976,710
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,5,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_10809.JPEG,126b9b55ab31c46c83e1b907bc8cc7822773558de228e168d1802220d3c49794,214d4b8025454529bb9725eaec674145f66fc806714ceca95251ee7470c24041,256,968
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,6,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_10830.JPEG,c226a0707943934d7e508f24f8c9393d4b801f05fe85a1f4e5ad3d9a5cde8b2c,22dc6ee9479e4d23bd8601bce3f7321b59c06b8f01698462ac874cbc89e3dc4b,496,968
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,7,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_10900.JPEG,bd1ed35d1308eb5969b468c01b63ca800f392f4f553afac589b68900ac2fafa9,46c20a77ddfc2e304dcede03b3525ece887c57474554d7865a794226da6f0251,736,968
tuberlin_220_30,test,FEWEST PHOTOS,19,trombone,photo,8,datasets/TUBerlin/ImageResized_ready/trombone/n04487394_10932.JPEG,6ceef2213a33220ae71ec13240dca4a15a97cc46d2e009dccad5b40a1a5b43b3,bf251d8ef170563d5debe0223ca74b709b834531a6039e0d4ea2b84a96239087,976,968
quickdraw_80_30,test,MOST PHOTOS,23,tiger,sketch,1,datasets/QuickDraw/sketches/tiger/4504366390181888.png,356a8520d1a24020a50653fb0f81b2ba1d2dbb89a95d1cfb92b1ae5e74e4bf9b,beb7e711a1344358f14076af2601d1929ac73ac5d786f7a32eb01684c7f53214,16,156
quickdraw_80_30,test,MOST PHOTOS,23,tiger,sketch,2,datasets/QuickDraw/sketches/tiger/4505562471464960.png,1a3be42d8ffdfc795e3e9f24948ccf08737e393325e7c2f20dda7d067899689a,b63b097e333b0cdf8c871c81a6cb8ba63e104559a29744238c55dfb7155a9a19,16,414
quickdraw_80_30,test,MOST PHOTOS,23,tiger,photo,1,datasets/QuickDraw/images/tiger/image_00001.jpg,c988a9a9582abc8fc9e2672b4762f5957428529cac2a387ab4489af661eef0ec,83bf3a1f98ea10b032e1bea84a500be6c73109f0a0aa340d0fd7298e0fcf4ad8,256,156
