dataset,split,modality,label,class_name,count
sketchy_104_21,train,sketch,0,table,513
sketchy_104_21,train,sketch,1,teapot,573
sketchy_104_21,train,sketch,2,harp,534
sketchy_104_21,train,sketch,3,wading_bird,471
sketchy_104_21,train,sketch,4,rocket,550
sketchy_104_21,train,sketch,5,chicken,624
sketchy_104_21,train,sketch,6,armor,527
sketchy_104_21,train,sketch,7,ray,468
sketchy_104_21,train,sketch,8,turtle,595
sketchy_104_21,train,sketch,9,bee,601
sketchy_104_21,train,sketch,10,swan,536
sketchy_104_21,train,sketch,11,lizard,584
sketchy_104_21,train,sketch,12,parrot,552
sketchy_104_21,train,sketch,13,tiger,693
sketchy_104_21,train,sketch,14,bicycle,564
sketchy_104_21,train,sketch,15,cannon,489
sketchy_104_21,train,sketch,16,shoe,496
sketchy_104_21,train,sketch,17,eyeglasses,488
sketchy_104_21,train,sketch,18,penguin,487
sketchy_104_21,train,sketch,19,butterfly,562
sketchy_104_21,train,sketch,20,sheep,619
sketchy_104_21,train,sketch,21,pickup_truck,648
sketchy_104_21,train,sketch,22,crab,502
sketchy_104_21,train,sketch,23,rifle,571
sketchy_104_21,train,sketch,24,mushroom,473
sketchy_104_21,train,sketch,25,ant,513
sketchy_104_21,train,sketch,26,alarm_clock,521
sketchy_104_21,train,sketch,27,hammer,581
sketchy_104_21,train,sketch,28,spoon,485
sketchy_104_21,train,sketch,29,umbrella,496
sketchy_104_21,train,sketch,30,pizza,556
sketchy_104_21,train,sketch,31,fish,480
sketchy_104_21,train,sketch,32,frog,558
sketchy_104_21,train,sketch,33,hamburger,474
sketchy_104_21,train,sketch,34,spider,570
sketchy_104_21,train,sketch,35,starfish,469
sketchy_104_21,train,sketch,36,hermit_crab,509
sketchy_104_21,train,sketch,37,candle,488
sketchy_104_21,train,sketch,38,cat,642
sketchy_104_21,train,sketch,39,axe,552
sketchy_104_21,train,sketch,40,couch,602
sketchy_104_21,train,sketch,41,lion,647
sketchy_104_21,train,sketch,42,pretzel,602
sketchy_104_21,train,sketch,43,cup,647
sketchy_104_21,train,sketch,44,elephant,611
sketchy_104_21,train,sketch,45,hedgehog,553
sketchy_104_21,train,sketch,46,teddy_bear,521
sketchy_104_21,train,sketch,47,rabbit,618
sketchy_104_21,train,sketch,48,horse,688
sketchy_104_21,train,sketch,49,hot-air_balloon,569
sketchy_104_21,train,sketch,50,shark,497
sketchy_104_21,train,sketch,51,strawberry,550
sketchy_104_21,train,sketch,52,pistol,502
sketchy_104_21,train,sketch,53,zebra,558
sketchy_104_21,train,sketch,54,jellyfish,485
sketchy_104_21,train,sketch,55,dog,642
sketchy_104_21,train,sketch,56,pineapple,555
sketchy_104_21,train,sketch,57,ape,567
sketchy_104_21,train,sketch,58,saxophone,513
sketchy_104_21,train,sketch,59,volcano,504
sketchy_104_21,train,sketch,60,bell,536
sketchy_104_21,train,sketch,61,bear,672
sketchy_104_21,train,sketch,62,chair,619
sketchy_104_21,train,sketch,63,jack-o-lantern,476
sketchy_104_21,train,sketch,64,owl,607
sketchy_104_21,train,sketch,65,trumpet,496
sketchy_104_21,train,sketch,66,car_(sedan),592
sketchy_104_21,train,sketch,67,banana,585
sketchy_104_21,train,sketch,68,geyser,508
sketchy_104_21,train,sketch,69,church,539
sketchy_104_21,train,sketch,70,violin,504
sketchy_104_21,train,sketch,71,deer,518
sketchy_104_21,train,sketch,72,scorpion,593
sketchy_104_21,train,sketch,73,seal,515
sketchy_104_21,train,sketch,74,racket,499
sketchy_104_21,train,sketch,75,camel,640
sketchy_104_21,train,sketch,76,fan,479
sketchy_104_21,train,sketch,77,pig,626
sketchy_104_21,train,sketch,78,tank,556
sketchy_104_21,train,sketch,79,flower,468
sketchy_104_21,train,sketch,80,sailboat,609
sketchy_104_21,train,sketch,81,castle,558
sketchy_104_21,train,sketch,82,duck,674
sketchy_104_21,train,sketch,83,snake,579
sketchy_104_21,train,sketch,84,kangaroo,675
sketchy_104_21,train,sketch,85,guitar,478
sketchy_104_21,train,sketch,86,piano,567
sketchy_104_21,train,sketch,87,bench,533
sketchy_104_21,train,sketch,88,squirrel,638
sketchy_104_21,train,sketch,89,crocodilian,547
sketchy_104_21,train,sketch,90,apple,501
sketchy_104_21,train,sketch,91,hourglass,484
sketchy_104_21,train,sketch,92,motorcycle,593
sketchy_104_21,train,sketch,93,hat,479
sketchy_104_21,train,sketch,94,knife,574
sketchy_104_21,train,sketch,95,bread,513
sketchy_104_21,train,sketch,96,wine_bottle,553
sketchy_104_21,train,sketch,97,blimp,617
sketchy_104_21,train,sketch,98,hotdog,584
sketchy_104_21,train,sketch,99,airplane,659
sketchy_104_21,train,sketch,100,snail,590
sketchy_104_21,train,sketch,101,beetle,499
sketchy_104_21,train,sketch,102,lobster,494
sketchy_104_21,train,sketch,103,sea_turtle,516
sketchy_104_21,train,photo,0,table,700
sketchy_104_21,train,photo,1,teapot,700
sketchy_104_21,train,photo,2,harp,700
sketchy_104_21,train,photo,3,wading_bird,700
sketchy_104_21,train,photo,4,rocket,700
sketchy_104_21,train,photo,5,chicken,700
sketchy_104_21,train,photo,6,armor,700
sketchy_104_21,train,photo,7,ray,700
sketchy_104_21,train,photo,8,turtle,700
sketchy_104_21,train,photo,9,bee,700
sketchy_104_21,train,photo,10,swan,700
sketchy_104_21,train,photo,11,lizard,700
sketchy_104_21,train,photo,12,parrot,700
sketchy_104_21,train,photo,13,tiger,700
sketchy_104_21,train,photo,14,bicycle,700
sketchy_104_21,train,photo,15,cannon,700
sketchy_104_21,train,photo,16,shoe,699
sketchy_104_21,train,photo,17,eyeglasses,700
sketchy_104_21,train,photo,18,penguin,700
sketchy_104_21,train,photo,19,butterfly,700
sketchy_104_21,train,photo,20,sheep,700
sketchy_104_21,train,photo,21,pickup_truck,700
sketchy_104_21,train,photo,22,crab,700
sketchy_104_21,train,photo,23,rifle,700
sketchy_104_21,train,photo,24,mushroom,700
sketchy_104_21,train,photo,25,ant,700
sketchy_104_21,train,photo,26,alarm_clock,700
sketchy_104_21,train,photo,27,hammer,700
sketchy_104_21,train,photo,28,spoon,700
sketchy_104_21,train,photo,29,umbrella,700
sketchy_104_21,train,photo,30,pizza,700
sketchy_104_21,train,photo,31,fish,700
sketchy_104_21,train,photo,32,frog,700
sketchy_104_21,train,photo,33,hamburger,700
sketchy_104_21,train,photo,34,spider,700
sketchy_104_21,train,photo,35,starfish,700
sketchy_104_21,train,photo,36,hermit_crab,700
sketchy_104_21,train,photo,37,candle,700
sketchy_104_21,train,photo,38,cat,700
sketchy_104_21,train,photo,39,axe,700
sketchy_104_21,train,photo,40,couch,700
sketchy_104_21,train,photo,41,lion,700
sketchy_104_21,train,photo,42,pretzel,700
sketchy_104_21,train,photo,43,cup,700
sketchy_104_21,train,photo,44,elephant,700
sketchy_104_21,train,photo,45,hedgehog,700
sketchy_104_21,train,photo,46,teddy_bear,700
sketchy_104_21,train,photo,47,rabbit,700
sketchy_104_21,train,photo,48,horse,796
sketchy_104_21,train,photo,49,hot-air_balloon,700
sketchy_104_21,train,photo,50,shark,700
sketchy_104_21,train,photo,51,strawberry,700
sketchy_104_21,train,photo,52,pistol,700
sketchy_104_21,train,photo,53,zebra,700
sketchy_104_21,train,photo,54,jellyfish,700
sketchy_104_21,train,photo,55,dog,700
sketchy_104_21,train,photo,56,pineapple,700
sketchy_104_21,train,photo,57,ape,700
sketchy_104_21,train,photo,58,saxophone,700
sketchy_104_21,train,photo,59,volcano,700
sketchy_104_21,train,photo,60,bell,700
sketchy_104_21,train,photo,61,bear,700
sketchy_104_21,train,photo,62,chair,700
sketchy_104_21,train,photo,63,jack-o-lantern,700
sketchy_104_21,train,photo,64,owl,700
sketchy_104_21,train,photo,65,trumpet,700
sketchy_104_21,train,photo,66,car_(sedan),700
sketchy_104_21,train,photo,67,banana,700
sketchy_104_21,train,photo,68,geyser,700
sketchy_104_21,train,photo,69,church,700
sketchy_104_21,train,photo,70,violin,700
sketchy_104_21,train,photo,71,deer,800
sketchy_104_21,train,photo,72,scorpion,700
sketchy_104_21,train,photo,73,seal,554
sketchy_104_21,train,photo,74,racket,700
sketchy_104_21,train,photo,75,camel,700
sketchy_104_21,train,photo,76,fan,700
sketchy_104_21,train,photo,77,pig,700
sketchy_104_21,train,photo,78,tank,700
