dataset,split,modality,rank,label,class_name,count,selection
sketchy_104_21,train,sketch,1,13,tiger,693,largest
sketchy_104_21,train,sketch,2,48,horse,688,largest
sketchy_104_21,train,sketch,3,84,kangaroo,675,largest
sketchy_104_21,train,sketch,4,82,duck,674,largest
sketchy_104_21,train,sketch,5,61,bear,672,largest
sketchy_104_21,train,sketch,6,99,airplane,659,largest
sketchy_104_21,train,sketch,7,21,pickup_truck,648,largest
sketchy_104_21,train,sketch,8,43,cup,647,largest
sketchy_104_21,train,sketch,9,41,lion,647,largest
sketchy_104_21,train,sketch,10,38,cat,642,largest
sketchy_104_21,train,sketch,11,24,mushroom,473,smallest
sketchy_104_21,train,sketch,12,3,wading_bird,471,smallest
sketchy_104_21,train,sketch,13,35,starfish,469,smallest
sketchy_104_21,train,sketch,14,79,flower,468,smallest
sketchy_104_21,train,sketch,15,7,ray,468,smallest
sketchy_104_21,train,photo,1,71,deer,800,largest
sketchy_104_21,train,photo,2,102,lobster,800,largest
sketchy_104_21,train,photo,3,48,horse,796,largest
sketchy_104_21,train,photo,4,99,airplane,700,largest
sketchy_104_21,train,photo,5,26,alarm_clock,700,largest
sketchy_104_21,train,photo,6,25,ant,700,largest
sketchy_104_21,train,photo,7,57,ape,700,largest
sketchy_104_21,train,photo,8,90,apple,700,largest
sketchy_104_21,train,photo,9,6,armor,700,largest
sketchy_104_21,train,photo,10,39,axe,700,largest
sketchy_104_21,train,photo,11,67,banana,700,smallest
sketchy_104_21,train,photo,12,61,bear,700,smallest
sketchy_104_21,train,photo,13,9,bee,700,smallest
sketchy_104_21,train,photo,14,16,shoe,699,smallest
sketchy_104_21,train,photo,15,73,seal,554,smallest
sketchy_104_21,test,sketch,1,6,helicopter,746,largest
sketchy_104_21,test,sketch,2,9,raccoon,735,largest
sketchy_104_21,test,sketch,3,2,cow,728,largest
sketchy_104_21,test,sketch,4,5,giraffe,673,largest
sketchy_104_21,test,sketch,5,7,mouse,670,largest
sketchy_104_21,test,sketch,6,13,seagull,666,largest
sketchy_104_21,test,sketch,7,0,bat,635,largest
sketchy_104_21,test,sketch,8,16,sword,605,largest
sketchy_104_21,test,sketch,9,19,windmill,598,largest
sketchy_104_21,test,sketch,10,3,dolphin,590,largest
sketchy_104_21,test,sketch,11,14,skyscraper,545,smallest
sketchy_104_21,test,sketch,12,18,wheelchair,542,smallest
sketchy_104_21,test,sketch,13,17,tree,533,smallest
sketchy_104_21,test,sketch,14,11,saw,532,smallest
sketchy_104_21,test,sketch,15,15,songbird,529,smallest
sketchy_104_21,test,photo,1,6,helicopter,850,largest
sketchy_104_21,test,photo,2,10,rhinoceros,763,largest
sketchy_104_21,test,photo,3,12,scissors,739,largest
sketchy_104_21,test,photo,4,3,dolphin,713,largest
sketchy_104_21,test,photo,5,2,cow,700,largest
sketchy_104_21,test,photo,6,4,door,700,largest
sketchy_104_21,test,photo,7,5,giraffe,700,largest
sketchy_104_21,test,photo,8,9,raccoon,700,largest
sketchy_104_21,test,photo,9,11,saw,700,largest
sketchy_104_21,test,photo,10,13,seagull,700,largest
sketchy_104_21,test,photo,11,8,pear,485,smallest
sketchy_104_21,test,photo,12,7,mouse,445,smallest
sketchy_104_21,test,photo,13,18,wheelchair,378,smallest
sketchy_104_21,test,photo,14,16,sword,376,smallest
sketchy_104_21,test,photo,15,14,skyscraper,261,smallest
tuberlin_220_30,train,sketch,1,169,airplane,70,largest
tuberlin_220_30,train,sketch,2,2,alarm clock,70,largest
tuberlin_220_30,train,sketch,3,12,angel,70,largest
tuberlin_220_30,train,sketch,4,96,apple,70,largest
tuberlin_220_30,train,sketch,5,177,arm,70,largest
tuberlin_220_30,train,sketch,6,138,armchair,70,largest
tuberlin_220_30,train,sketch,7,219,ashtray,70,largest
tuberlin_220_30,train,sketch,8,34,axe,70,largest
tuberlin_220_30,train,sketch,9,101,backpack,70,largest
tuberlin_220_30,train,sketch,10,160,barn,70,largest
tuberlin_220_30,train,sketch,11,125,baseball bat,70,smallest
tuberlin_220_30,train,sketch,12,193,basket,70,smallest
tuberlin_220_30,train,sketch,13,97,bathtub,70,smallest
tuberlin_220_30,train,sketch,14,49,bear (animal),70,smallest
tuberlin_220_30,train,sketch,15,26,bed,70,smallest
tuberlin_220_30,train,photo,1,30,truck,2520,largest
tuberlin_220_30,train,photo,2,27,calculator,2411,largest
tuberlin_220_30,train,photo,3,148,head-phones,1941,largest
tuberlin_220_30,train,photo,4,95,suv,1824,largest
tuberlin_220_30,train,photo,5,14,tire,1688,largest
tuberlin_220_30,train,photo,6,209,duck,1597,largest
tuberlin_220_30,train,photo,7,151,crane (machine),1589,largest
tuberlin_220_30,train,photo,8,185,flashlight,1569,largest
tuberlin_220_30,train,photo,9,154,rainbow,1514,largest
tuberlin_220_30,train,photo,10,177,arm,1484,largest
tuberlin_220_30,train,photo,11,12,angel,84,smallest
tuberlin_220_30,train,photo,12,174,power outlet,84,smallest
tuberlin_220_30,train,photo,13,45,hamburger,42,smallest
tuberlin_220_30,train,photo,14,43,fork,13,smallest
tuberlin_220_30,train,photo,15,32,squirrel,4,smallest
tuberlin_220_30,test,sketch,1,17,ant,80,largest
tuberlin_220_30,test,sketch,2,0,banana,80,largest
tuberlin_220_30,test,sketch,3,6,bottle opener,80,largest
tuberlin_220_30,test,sketch,4,16,brain,80,largest
tuberlin_220_30,test,sketch,5,28,bread,80,largest
tuberlin_220_30,test,sketch,6,26,bridge,80,largest
tuberlin_220_30,test,sketch,7,1,bus,80,largest
tuberlin_220_30,test,sketch,8,7,canoe,80,largest
tuberlin_220_30,test,sketch,9,8,fan,80,largest
tuberlin_220_30,test,sketch,10,27,frying-pan,80,largest
tuberlin_220_30,test,sketch,11,29,horse,80,smallest
tuberlin_220_30,test,sketch,12,14,hot air balloon,80,smallest
tuberlin_220_30,test,sketch,13,11,laptop,80,smallest
tuberlin_220_30,test,sketch,14,13,lighter,80,smallest
tuberlin_220_30,test,sketch,15,24,parachute,80,smallest
tuberlin_220_30,test,photo,1,20,windmill,2922,largest
tuberlin_220_30,test,photo,2,16,brain,1297,largest
