dataset,step,condition,P@200,full_mAP,mAP@200_all_relevant,mAP@200_min_relevant_k,mAP@200_prefix_positive
sketchy_104_21,4446,clean,0.5495348081258434,0.5158443483724316,0.14286929765196987,0.4281478006759094,0.5681921911614956
sketchy_104_21,4446,masked_macro,0.41280092066067475,0.40046720480836373,0.10009452657940132,0.30138174433376214,0.4297634429605374
sketchy_104_21,4446,mask_0.25,0.49205030191834603,0.46700788611458804,0.12334984942893017,0.3719637560804319,0.5095103895131011
sketchy_104_21,4446,mask_0.5,0.42490585187133495,0.4102758196785186,0.102793418343349,0.3105902184643793,0.44181083994177056
sketchy_104_21,4446,mask_0.75,0.3214466081923432,0.3241179086319843,0.0741403119659248,0.2215912584564752,0.33796909942674064
tuberlin_220_30,1189,clean,0.5028541551022014,0.4396614905633032,0.11997771129537048,0.4218314166392649,0.5298112324605851
tuberlin_220_30,1189,masked_macro,0.36322638066916696,0.32638461547718317,0.08647729684556663,0.289237219486568,0.38406643491130565
tuberlin_220_30,1189,mask_0.25,0.4479784620836533,0.396830625582176,0.10809915408874225,0.3687495009393893,0.4712214475204625
tuberlin_220_30,1189,mask_0.5,0.3803229081330614,0.3407421474602435,0.09192165376845825,0.304333463438724,0.4010689600474951
tuberlin_220_30,1189,mask_0.75,0.26137777179078614,0.24158107338912993,0.0594110826794994,0.19462869408159075,0.2799088971659593
quickdraw_80_30,18229,clean,0.15036655433270998,0.15478658944216914,0.008877689791890082,0.07665718901818885,0.16075776085281487
quickdraw_80_30,18229,masked_macro,0.11791724323539175,0.12753774058770742,0.00650347823919606,0.05593806139345389,0.13125110275363314
quickdraw_80_30,18229,mask_0.25,0.13538094761360261,0.14325351296176425,0.007723968946747027,0.06663457476153149,0.14696224917647158
quickdraw_80_30,18229,mask_0.5,0.11977119187272041,0.1299123183814902,0.006592638637816885,0.05684821532316103,0.132553135572783
quickdraw_80_30,18229,mask_0.75,0.09859959021985228,0.10944739041986788,0.005193827133024268,0.044331394095669184,0.11423792351164486
